type,filght_number,airline,departure_airport,departure_time,arrival_airport,arrival_time
departure,JL102,JAL,,7:05,HND,
,NH419,ANA,,7:05,FUK,
,NH986,ANA,,7:05,HND,
,JL2341,JAL,,7:05,IZO,
,JL2401,JAL,,7:05,KOJ,
,NH541,ANA,,7:10,KOJ,
,JL2051,JAL,,7:10,FUK,
,JL2201,JAL,,7:10,SDJ,
,JL2431,JAL,,7:10,KMI,
,JL2181,JAL,,7:15,HNA,
,JL2241,JAL,,7:15,KIJ,
,NH521,ANA,,7:20,KMJ,
,JL2371,JAL,,7:20,NGS,
,JL104,JAL,,7:25,HND,
,NH1601,ANA,,7:25,KCZ,
,JL2151,JAL,,7:25,AOJ,
,NH14,ANA,,7:30,HND,
,JL2383,JAL,,7:30,KMJ,
,IBX77/NH3177,IBEX,,7:35,OIT,
,NH1633,ANA,,7:35,MYJ,
,NH501,ANA,,7:45,KMI,
,JL2171,JAL,,7:50,AXT,
,NH1695,ANA,,7:55,FKS,
,NH16,ANA,,8:00,HND,
,NH421,ANA,,8:00,FUK,
,NH731,ANA,,8:00,SDJ,
,JL2001,JAL,,8:00,CTS,
,NH1651,ANA,,8:05,AXT,
,JL2233,JAL,,8:05,GAJ,
,NH761,ANA,,8:20,OKA,
,JL2301,JAL,,8:25,MYJ,
,JL106,JAL,,8:30,HND,
,NH771,ANA,,8:30,CTS,
,JL2081,JAL,,8:30,OKA,
,IBX71/NH3171,IBEX,,8:40,KIJ,
,NH18,ANA,,9:00,HND,
,NH1851,ANA,,9:00,AOJ,
,JL2203,JAL,,9:00,SDJ,
,JL2321,JAC,,9:00,TJH,
,NH1635,ANA,,9:10,MYJ,
,NH423,ANA,,9:15,FUK,
,JL2361,JAL,,9:15,OIT,
,JL2373,JAL,,9:15,NGS,
,NH523,ANA,,9:20,KMJ,
,NH733,ANA,,9:20,SDJ,
,JL110,JAL,,9:25,HND,
,NH503,ANA,,9:30,KMI,
,JL2403,JAL,,9:35,KOJ,
,NH781,ANA,,9:40,NGS,
,JL2053,JAL,,9:50,FUK,
,JL2465,JAL,,9:55,ASJ,
,NH20,ANA,,10:00,HND,
,NH543,ANA,,10:00,KOJ,
,NH735,ANA,,10:00,SDJ,
,NH773,ANA,,10:00,CTS,
,NH1657,ANA,,10:00,KIJ,
,NH1605,ANA,,10:20,,
,JL2243,JAL,,10:20,,
,IBX55/NH3155,IBEX,,10:30,,
